,officer_id,avg_coaccusals,avg_years_on_force_at_incident,avg_age_at_incident,gender,avg_complaint_percentile,avg_disciplined_count,cohort_id,avg_allegation_severity,max_allegation_severity,compound,neg,neu,pos
5104,7392,2.0,4.0,30.0,0,61.2739,0.0,3,12.145,14.73,,,,
5108,7396,4.0,11.0,46.0,1,17.958,0.0,3,16.59,16.59,,,,
5109,7401,2.0,3.0,37.0,1,0.0,0.0,3,0.77,0.77,,,,
5114,7407,3.8181818181818175,5.545454545454546,28.54545454545455,1,87.0162,0.0,2,9.726363636363635,16.59,,,,
5115,7409,1.0,10.0,51.0,0,16.7284,0.0,3,6.3,6.3,,,,
5116,7410,1.3333333333333333,29.66666666666667,53.66666666666666,1,76.1107,0.3333333333333333,3,9.836666666666666,20.52,,,,
5117,7411,4.888888888888888,9.0,35.0,1,54.3006,0.0,2,12.293333333333331,16.59,,,,
5118,7413,4.0,1.0,28.0,1,0.0,0.0,3,16.59,16.59,,,,
5121,7419,9.0,29.5,56.5,1,58.6132,0.5,3,12.555,15.51,,,,
5122,7420,1.0,4.0,34.0,1,17.6569,0.0,3,0.77,0.77,,,,
5126,7424,2.4,6.6,31.6,0,66.4017,0.1,2,5.655,9.6,,,,
5129,7432,4.0,6.111111111111112,44.111111111111114,0,71.8352,0.11111111111111112,3,6.875555555555556,9.6,,,,
5133,7437,2.1379310344827585,6.655172413793102,36.6551724137931,1,95.5561,0.0,2,11.154482758620688,16.59,,,,
5135,7439,2.0,35.0,62.0,1,57.8692,0.0,3,7.95,9.6,,,,
5136,7440,1.0,5.5,37.5,1,25.4518,0.5,3,6.07,6.07,,,,
5144,7453,1.3333333333333333,28.0,53.0,1,28.2118,0.3333333333333333,3,3.81,7.11,,,,
5145,7455,3.0,10.0,39.0,1,0.0,1.0,3,7.08,7.08,,,,
5147,7457,2.333333333333333,5.916666666666668,33.916666666666664,1,71.178,0.16666666666666666,2,7.038181818181817,15.0,,,,
5149,7461,1.0,22.0,43.0,1,23.3173,0.0,3,8.22,8.22,,,,
5150,7462,2.333333333333333,2.6666666666666665,35.666666666666664,1,38.5694,0.0,3,11.31,14.73,,,,
5151,7464,1.6666666666666667,5.333333333333333,36.333333333333336,0,44.2818,0.0,3,6.671666666666666,17.67,,,,
5152,7465,2.0,1.0,28.0,1,73.505,0.0,3,0.77,0.77,,,,
5153,7466,4.0,5.0,38.0,0,20.2753,0.0,3,9.6,9.6,,,,
5158,7473,2.2,29.6,58.6,1,87.221,0.4,3,7.71,16.59,,,,
5160,7475,1.5,20.5,43.5,1,29.724,0.0,3,13.635,17.67,,,,
5161,7476,2.0,51.0,78.0,1,0.0,0.0,3,8.22,8.22,,,,
5165,7484,2.0,28.0,54.0,1,28.8747,0.0,3,7.66,7.66,,,,
5168,7488,3.5714285714285716,8.285714285714286,55.28571428571429,0,48.7516,0.0,2,10.848571428571427,16.59,,,,
